"","acesso_indegree","acesso_outdegree","acesso_totaldegree","acesso_incloseness","acesso_outcloseness","acesso_totalcloseness","acesso_betweenness","acesso_eigenvector","acesso_reach_in_vec","acesso_reach_out_vec"
"163",70,89,159,0.000136202669572324,0.002,0.00377358490566038,4966.6,0.668,0.796791443850267,NA
"192",38,64,102,0.000135372952484094,0.0018450184501845,0.00317460317460317,2630.4,0.402,0.796791443850267,NA
"170",106,105,211,0.000137023842148534,0.00210970464135021,0.00396825396825397,12336.6,1,0.796791443850267,NA
"177",18,39,57,0.000135025654874426,0.00180831826401447,0.00280898876404494,769.6,0.258,0.796791443850267,NA
"185",24,21,45,0.000135153399107988,0.00165837479270315,0.00277777777777778,173,0.354,0.796791443850267,NA
"187",20,26,46,0.000135043889264011,0.00162337662337662,0.002710027100271,199.9,0.269,0.796791443850267,NA
"164",14,27,41,0.000134661998384056,0.0016366612111293,0.00261780104712042,179.7,0.168,0.796791443850267,NA
"118",18,27,45,0.000134989200863931,0.00171526586620926,0.00285714285714286,765.8,0.221,0.796791443850267,NA
"134",3,16,19,0.000132608407373027,0.00167224080267559,0.00253164556962025,33.9,0.02,0.796791443850267,NA
"136",9,4,13,0.000134661998384056,0.00155038759689923,0.0025,48.4,0.108,0.796791443850267,NA
"181",23,11,34,0.000135135135135135,0.00157977883096367,0.00263852242744063,222,0.305,0.796791443850267,NA
"180",21,8,29,0.000135189941868325,0.00153846153846154,0.00266666666666667,49,0.286,0.796791443850267,NA
"117",3,40,43,0.000132608407373027,0.00179533213644524,0.00277777777777778,466.6,0.022,0.796791443850267,NA
"138",5,24,29,0.000132978723404255,0.00173611111111111,0.00268096514745308,332.6,0.063,0.796791443850267,NA
"22",5,6,11,0.000134734572891404,0.00154559505409583,0.00242130750605327,4.3,0.134,0.796791443850267,NA
"145",4,8,12,0.000134589502018843,0.0015625,0.00248756218905473,3,0.102,0.796791443850267,NA
"184",21,60,81,0.000135189941868325,0.00190114068441065,0.00305810397553517,770.5,0.309,0.796791443850267,NA
"191",39,20,59,0.000135556459265284,0.00169491525423729,0.00284900284900285,419.3,0.437,0.796791443850267,NA
"151",3,9,12,0.000132802124833997,0.0015748031496063,0.00240384615384615,273.2,0.024,0.796791443850267,NA
"162",8,8,16,0.000134607618791224,0.00153846153846154,0.00253164556962025,272.7,0.147,0.796791443850267,NA
"172",19,15,34,0.000135116876097825,0.00163398692810457,0.0026525198938992,152.3,0.281,0.796791443850267,NA
"137",4,7,11,0.000132766861391397,0.00153609831029186,0.00237529691211401,106,0.023,0.796791443850267,NA
"173",21,9,30,0.000135153399107988,0.00158982511923688,0.0026525198938992,54.5,0.314,0.796791443850267,NA
"112",1,37,38,0.000130924325739722,0.0017921146953405,0.00280112044817927,316.4,0.004,0.796791443850267,NA
"160",4,5,9,0.000132872707945788,0.00153609831029186,0.00239234449760766,172.3,0.031,0.796791443850267,NA
"68",2,3,5,0.00013437248051599,0.00129366106080207,0.00246305418719212,42,0.055,0.796791443850267,NA
"71",3,2,5,0.000132397722759169,0.0014903129657228,0.00254452926208651,4.6,0.012,0.796791443850267,NA
"174",22,30,52,0.000135189941868325,0.00171232876712329,0.00271739130434783,579.6,0.307,0.796791443850267,NA
"176",16,34,50,0.000135007425408397,0.0017921146953405,0.00275482093663912,532.7,0.248,0.796791443850267,NA
"179",15,21,36,0.000134970981239034,0.00170068027210884,0.00268817204301075,231.5,0.249,0.796791443850267,NA
"175",20,13,33,0.000135080372821829,0.001669449081803,0.00269541778975741,82.6,0.3,0.796791443850267,NA
"64",6,14,20,0.000134770889487871,0.0016,0.00251256281407035,197.2,0.159,0.796791443850267,NA
"190",20,17,37,0.000135135135135135,0.00169779286926995,0.00284090909090909,147.1,0.29,0.796791443850267,NA
"107",4,1,5,0.000132397722759169,0.00120336943441637,0.0019723865877712,3.5,0.01,0.796791443850267,NA
"178",15,3,18,0.000135007425408397,0.00123762376237624,0.0025706940874036,67,0.232,0.796791443850267,NA
"132",7,7,14,0.000132837407013815,0.00153609831029186,0.00242130750605327,116.2,0.03,0.796791443850267,NA
"124",10,15,25,0.000134698275862069,0.00166112956810631,0.00261780104712042,270.2,0.159,0.796791443850267,NA
"139",6,4,10,0.000133457894034432,0.00144508670520231,0.00233100233100233,22,0.089,0.796791443850267,NA
"144",3,5,8,0.000133084908171413,0.00160513643659711,0.00242718446601942,12.7,0.044,0.796791443850267,NA
"158",21,31,52,0.000134934556739981,0.00172117039586919,0.00273972602739726,406.9,0.213,0.796791443850267,NA
"188",17,34,51,0.000135043889264011,0.00179856115107914,0.00277008310249307,704.8,0.243,0.796791443850267,NA
"194",10,23,33,0.000134807225667296,0.00170648464163823,0.00267379679144385,93,0.173,0.796791443850267,NA
"195",11,23,34,0.000134716421931833,0.00170648464163823,0.0027027027027027,58,0.153,0.796791443850267,NA
"122",11,7,18,0.000134698275862069,0.00157977883096367,0.00256410256410256,132.9,0.131,0.796791443850267,NA
"159",3,9,12,0.000134426670251378,0.00157728706624606,0.00248138957816377,23.1,0.089,0.796791443850267,NA
"183",26,20,46,0.000135189941868325,0.00161550888529887,0.00265957446808511,387.2,0.306,0.796791443850267,NA
"110",3,3,6,0.000130667712008363,0.00124069478908189,0.00203665987780041,14.9,0.002,0.796791443850267,NA
"146",4,8,12,0.000133457894034432,0.00156739811912226,0.00244498777506112,4.1,0.064,0.796791443850267,NA
"147",4,8,12,0.000133457894034432,0.00156739811912226,0.00244498777506112,4.1,0.064,0.796791443850267,NA
"148",4,8,12,0.000133457894034432,0.00156739811912226,0.00244498777506112,4.1,0.064,0.796791443850267,NA
"149",4,8,12,0.000133457894034432,0.00156739811912226,0.00244498777506112,4.1,0.064,0.796791443850267,NA
"150",4,8,12,0.000133457894034432,0.00156739811912226,0.00244498777506112,4.1,0.064,0.796791443850267,NA
"128",1,4,5,0.000130463144161774,0.00151975683890578,0.00227272727272727,1.2,0.002,0.796791443850267,NA
"67",7,9,16,0.000133958472873409,0.00160513643659711,0.00251889168765743,188.8,0.125,0.796791443850267,NA
"102",3,39,42,0.000132520540683806,0.0017825311942959,0.00289017341040462,868.2,0.015,0.796791443850267,NA
"182",17,13,30,0.000135007425408397,0.00172413793103448,0.00279329608938547,979.5,0.258,0.796791443850267,NA
"37",10,12,22,0.000134861766689144,0.0016366612111293,0.00251889168765743,324.7,0.196,0.796791443850267,NA
"81",3,4,7,0.000132310134956338,0.00155038759689923,0.00255102040816327,49.1,0.012,0.796791443850267,NA
"165",27,18,45,0.0001354096140826,0.00174520069808028,0.00297619047619048,1334.1,0.311,0.796791443850267,NA
"73",3,26,29,0.000132855055134848,0.00140449438202247,0.0023094688221709,721.2,0.018,0.796791443850267,NA
"123",2,3,5,0.00013197835554969,0.00122549019607843,0.00182481751824818,1.5,0.005,0.796791443850267,NA
"51",7,7,14,0.000134789055128724,0.00160513643659711,0.00251256281407035,165.8,0.146,0.796791443850267,NA
"61",6,5,11,0.000134770889487871,0.0015625,0.00246913580246914,5,0.159,0.796791443850267,NA
"129",7,11,18,0.000133014099494546,0.00161030595813205,0.00248756218905473,425.4,0.033,0.796791443850267,NA
"125",0,1,1,2.87505031338048e-05,2.89050757312984e-05,0.00152905198776758,0,0,0.0053475935828877,NA
"80",1,2,3,0.00013319126265317,2.90613193839e-05,0.00189393939393939,0,0.001,0.802139037433155,NA
"156",8,12,20,0.000134625740441572,0.00165016501650165,0.00252525252525253,446.8,0.124,0.796791443850267,NA
"161",7,8,15,0.000133138064172547,0.00160513643659711,0.00244498777506112,143,0.081,0.796791443850267,NA
"26",3,2,5,0.000134698275862069,0.00152439024390244,0.00240963855421687,120.4,0.101,0.796791443850267,NA
"23",5,2,7,0.000134825401105568,0.00152439024390244,0.00246305418719212,126.3,0.141,0.796791443850267,NA
"31",6,6,12,0.000134843581445523,0.00158227848101266,0.00246305418719212,134.2,0.162,0.796791443850267,NA
"33",6,6,12,0.000134861766689144,0.00159489633173844,0.00261780104712042,136.7,0.132,0.796791443850267,NA
"34",7,6,13,0.000134898151895319,0.00159235668789809,0.00263157894736842,77.4,0.149,0.796791443850267,NA
"35",9,7,16,0.000134916351861846,0.0015552099533437,0.0025062656641604,78.4,0.186,0.796791443850267,NA
"40",6,6,12,0.000134770889487871,0.0015600624024961,0.00247524752475248,254.4,0.151,0.796791443850267,NA
"42",8,6,14,0.000134825401105568,0.00155038759689923,0.00263852242744063,132.4,0.163,0.796791443850267,NA
"186",26,16,42,0.000135263086703639,0.00168918918918919,0.00271739130434783,244.1,0.384,0.796791443850267,NA
"113",4,4,8,0.000130616509926855,0.00123304562268804,0.0017921146953405,0,0.002,0.796791443850267,NA
"114",4,4,8,0.000130616509926855,0.00123304562268804,0.0017921146953405,0,0.002,0.796791443850267,NA
"115",4,4,8,0.000130616509926855,0.00123304562268804,0.0017921146953405,0,0.002,0.796791443850267,NA
"116",4,4,8,0.000130616509926855,0.00123304562268804,0.0017921146953405,0,0.002,0.796791443850267,NA
"47",7,4,11,0.000134825401105568,0.00154559505409583,0.00242718446601942,377.3,0.151,0.796791443850267,NA
"76",8,1,9,0.00013349352556401,0.00134770889487871,0.00246305418719212,279.4,0.065,0.796791443850267,NA
"104",11,7,18,0.000133120340788072,0.00158730158730159,0.00265957446808511,1390.8,0.034,0.796791443850267,NA
"30",6,5,11,0.000134861766689144,0.00160771704180064,0.00245098039215686,12.3,0.157,0.796791443850267,NA
"127",11,4,15,0.000133582687683676,0.00157232704402516,0.00256410256410256,73.7,0.066,0.796791443850267,NA
"130",2,2,4,0.000130208333333333,0.00147710487444609,0.00225733634311512,184,0.001,0.796791443850267,NA
"46",7,16,23,0.000134825401105568,0.00163398692810457,0.00256410256410256,208.2,0.15,0.796791443850267,NA
"53",3,5,8,0.000134698275862069,0.00153846153846154,0.00241545893719807,4.7,0.109,0.796791443850267,NA
"54",6,6,12,0.000134752728742757,0.00156739811912226,0.00242718446601942,11.2,0.138,0.796791443850267,NA
"91",1,9,10,0.000130446125750065,0.0016260162601626,0.00247524752475248,2.7,0.003,0.796791443850267,NA
"135",3,6,9,0.000132082948091401,0.0015527950310559,0.00236406619385343,185.4,0.006,0.796791443850267,NA
"168",5,3,8,0.000134553283100108,0.00134048257372654,0.00236406619385343,306.9,0.084,0.796791443850267,NA
"55",9,9,18,0.000134843581445523,0.00158982511923688,0.00245700245700246,87.6,0.195,0.796791443850267,NA
"119",8,3,11,0.000133120340788072,0.00155038759689923,0.00264550264550265,4.5,0.047,0.796791443850267,NA
"120",2,1,3,0.000130208333333333,0.00116144018583043,0.00183823529411765,0,0.001,0.796791443850267,NA
"121",4,2,6,0.000132538104705103,0.00120048019207683,0.00198412698412698,0.8,0.016,0.796791443850267,NA
"24",7,2,9,0.000134898151895319,0.00153609831029186,0.00245700245700246,78.7,0.159,0.796791443850267,NA
"169",14,21,35,0.000135025654874426,0.00165016501650165,0.0026525198938992,392.5,0.249,0.796791443850267,NA
"157",2,2,4,0.000130992926381975,0.00126103404791929,0.0018796992481203,18.2,0.003,0.796791443850267,NA
"155",9,18,27,0.000133564845732603,0.00168634064080944,0.00258397932816537,46,0.126,0.796791443850267,NA
"140",3,0,3,0.000136444262518761,2.87505031338048e-05,0.00202839756592292,0,0.044,0.802139037433155,NA
"141",3,0,3,0.000136444262518761,2.87505031338048e-05,0.00202839756592292,0,0.044,0.802139037433155,NA
"38",6,3,9,0.000134770889487871,0.0015625,0.0024390243902439,16.7,0.159,0.796791443850267,NA
"48",6,7,13,0.000134770889487871,0.00161030595813205,0.00248756218905473,5.2,0.16,0.796791443850267,NA
"62",7,3,10,0.000134789055128724,0.00153374233128834,0.00245098039215686,1.2,0.167,0.796791443850267,NA
"142",3,0,3,0.000136444262518761,2.87505031338048e-05,0.00202839756592292,0,0.044,0.802139037433155,NA
"143",4,0,4,0.000136630687252357,2.87505031338048e-05,0.00207900207900208,0,0.059,0.802139037433155,NA
"65",9,5,14,0.000134825401105568,0.00159744408945687,0.00264550264550265,16.4,0.163,0.796791443850267,NA
"66",8,5,13,0.000134789055128724,0.0016,0.00244498777506112,11.2,0.162,0.796791443850267,NA
"6",9,6,15,0.000134916351861846,0.00155763239875389,0.00247524752475248,14.1,0.174,0.796791443850267,NA
"21",10,4,14,0.000134843581445523,0.00154320987654321,0.00246913580246914,15.1,0.185,0.796791443850267,NA
"25",7,2,9,0.000134861766689144,0.00153609831029186,0.00246305418719212,0.3,0.145,0.796791443850267,NA
"29",6,4,10,0.000134861766689144,0.00154320987654321,0.00245700245700246,2.2,0.157,0.796791443850267,NA
"41",7,4,11,0.000134789055128724,0.00156985871271586,0.00246913580246914,4.8,0.168,0.796791443850267,NA
"43",6,8,14,0.000134770889487871,0.00158478605388273,0.00246305418719212,4.5,0.148,0.796791443850267,NA
"45",6,8,14,0.000134770889487871,0.00158730158730159,0.00246913580246914,4.5,0.148,0.796791443850267,NA
"56",7,5,12,0.000134807225667296,0.0015600624024961,0.0024390243902439,57.4,0.152,0.796791443850267,NA
"57",14,5,19,0.000134934556739981,0.0015600624024961,0.00248138957816377,62.9,0.199,0.796791443850267,NA
"60",6,5,11,0.000134770889487871,0.00158730158730159,0.00246913580246914,3.5,0.155,0.796791443850267,NA
"153",11,15,26,0.000134698275862069,0.00167224080267559,0.00259067357512953,43.6,0.208,0.796791443850267,NA
"8",6,2,8,0.000134843581445523,0.00152439024390244,0.00244498777506112,2.5,0.158,0.796791443850267,NA
"12",4,2,6,0.000134807225667296,0.00152439024390244,0.0024330900243309,1.8,0.123,0.796791443850267,NA
"18",6,2,8,0.000134843581445523,0.00152439024390244,0.00244498777506112,2.5,0.158,0.796791443850267,NA
"2",5,3,8,0.000134843581445523,0.00156985871271586,0.00246913580246914,1,0.147,0.796791443850267,NA
"3",4,1,5,0.000134807225667296,0.00151975683890578,0.0024330900243309,0,0.129,0.796791443850267,NA
"5",5,3,8,0.000134825401105568,0.00153609831029186,0.00245098039215686,1.9,0.138,0.796791443850267,NA
"15",6,1,7,0.000134843581445523,0.00151975683890578,0.00247524752475248,0,0.133,0.796791443850267,NA
"16",4,3,7,0.000133994372236366,0.00156985871271586,0.00246913580246914,1,0.092,0.796791443850267,NA
"17",3,2,5,0.000134789055128724,0.00156739811912226,0.00242718446601942,0.3,0.114,0.796791443850267,NA
"19",5,2,7,0.000134825401105568,0.00156739811912226,0.0024390243902439,2.8,0.138,0.796791443850267,NA
"27",5,3,8,0.000134825401105568,0.00157232704402516,0.00244498777506112,5.7,0.144,0.796791443850267,NA
"28",5,1,6,0.000134825401105568,0.00151975683890578,0.00246305418719212,0,0.13,0.796791443850267,NA
"32",6,1,7,0.000134843581445523,0.00151975683890578,0.00244498777506112,0,0.153,0.796791443850267,NA
"36",8,6,14,0.000134934556739981,0.00160513643659711,0.00248756218905473,25.4,0.176,0.796791443850267,NA
"39",6,2,8,0.000134770889487871,0.00153139356814701,0.00242718446601942,0.8,0.166,0.796791443850267,NA
"44",6,1,7,0.000134770889487871,0.00151975683890578,0.00245098039215686,0,0.143,0.796791443850267,NA
"49",9,1,10,0.000134843581445523,0.00151975683890578,0.00248756218905473,7.2,0.17,0.796791443850267,NA
"50",5,2,7,0.000134752728742757,0.00156739811912226,0.00246913580246914,0.9,0.132,0.796791443850267,NA
"52",9,2,11,0.000134843581445523,0.0015220700152207,0.0024330900243309,50.8,0.174,0.796791443850267,NA
"58",6,1,7,0.000134752728742757,0.00151975683890578,0.00242130750605327,2.6,0.149,0.796791443850267,NA
"59",5,2,7,0.000134734572891404,0.00153846153846154,0.00240384615384615,6.9,0.126,0.796791443850267,NA
"63",5,1,6,0.000134752728742757,0.00151975683890578,0.00242130750605327,0,0.135,0.796791443850267,NA
"152",2,1,3,0.000134354426978369,0.00151975683890578,0.0023094688221709,0,0.056,0.796791443850267,NA
"171",33,1,34,0.000135464643727987,0.00151975683890578,0.00265957446808511,191.1,0.364,0.796791443850267,NA
"193",14,2,16,0.000134952766531714,0.00156739811912226,0.0025,390,0.16,0.796791443850267,NA
"20",6,1,7,0.000134770889487871,0.00118906064209275,0.00241545893719807,0.1,0.146,0.796791443850267,NA
"189",5,2,7,0.000132855055134848,0.00135685210312076,0.00202429149797571,1.8,0.041,0.796791443850267,NA
"1",2,1,3,0.000133922592741395,0.00137741046831956,0.00228310502283105,0.3,0.059,0.796791443850267,NA
"7",3,1,4,0.000134789055128724,0.00137741046831956,0.00242718446601942,0.3,0.114,0.796791443850267,NA
"9",2,1,3,0.000133922592741395,0.00137741046831956,0.00228310502283105,0.3,0.059,0.796791443850267,NA
"13",3,1,4,0.000134789055128724,0.00137741046831956,0.00242718446601942,0.3,0.114,0.796791443850267,NA
"14",2,1,3,0.000133922592741395,0.00137741046831956,0.00228310502283105,0.3,0.059,0.796791443850267,NA
"77",10,1,11,0.000134680134680135,0.00121802679658952,0.00266666666666667,6.3,0.095,0.796791443850267,NA
"84",4,1,5,0.000131095962244363,0.00122100122100122,0.00209205020920502,4.9,0.006,0.796791443850267,NA
"4",3,0,3,0.000137400384721077,2.87505031338048e-05,0.00229357798165138,0,0.074,0.802139037433155,NA
"10",4,0,4,0.000138255219134522,2.87505031338048e-05,0.0024330900243309,0,0.129,0.802139037433155,NA
"11",3,0,3,0.000138236107271219,2.87505031338048e-05,0.00242718446601942,0,0.114,0.802139037433155,NA
"69",2,0,2,0.00013349352556401,2.87505031338048e-05,0.00204498977505112,0,0.001,0.802139037433155,NA
"72",2,0,2,0.00013374348000535,2.87505031338048e-05,0.00178571428571429,0,0.002,0.802139037433155,NA
"74",11,0,11,0.000138236107271219,2.87505031338048e-05,0.00268096514745308,0,0.121,0.802139037433155,NA
"75",5,0,5,0.00013575889220744,2.87505031338048e-05,0.00201207243460765,0,0.013,0.802139037433155,NA
"78",4,0,4,0.000139547864917667,2.87505031338048e-05,0.00213219616204691,0,0.017,0.807486631016043,NA
"79",3,0,3,0.000139372822299652,2.87505031338048e-05,0.00208333333333333,0,0.015,0.807486631016043,NA
"82",3,0,3,0.000133850890108419,2.87505031338048e-05,0.00191938579654511,0,0.002,0.802139037433155,NA
"83",2,0,2,0.000136574706364381,2.87505031338048e-05,0.00188679245283019,0,0.001,0.807486631016043,NA
"85",4,0,4,0.000135611608353675,2.87505031338048e-05,0.00196078431372549,0,0.008,0.802139037433155,NA
"86",3,0,3,0.000133850890108419,2.87505031338048e-05,0.00191938579654511,0,0.002,0.802139037433155,NA
"87",3,0,3,0.000133850890108419,2.87505031338048e-05,0.00191938579654511,0,0.002,0.802139037433155,NA
"88",4,0,4,0.000135740464232388,2.87505031338048e-05,0.00198019801980198,0,0.01,0.802139037433155,NA
"89",4,0,4,0.00013575889220744,2.87505031338048e-05,0.00198807157057654,0,0.011,0.802139037433155,NA
"90",3,0,3,0.000133850890108419,2.87505031338048e-05,0.00191938579654511,0,0.002,0.802139037433155,NA
"92",4,0,4,0.000135740464232388,2.87505031338048e-05,0.00198412698412698,0,0.009,0.802139037433155,NA
"93",5,0,5,0.000135869565217391,2.87505031338048e-05,0.00201612903225806,0,0.02,0.802139037433155,NA
"94",4,0,4,0.000136109976861304,2.87505031338048e-05,0.00209643605870021,0,0.019,0.802139037433155,NA
"95",3,0,3,0.000136184120931499,2.87505031338048e-05,0.00211864406779661,0,0.019,0.802139037433155,NA
"96",4,0,4,0.000135685210312076,2.87505031338048e-05,0.00198019801980198,0,0.01,0.802139037433155,NA
"97",3,0,3,0.000133850890108419,2.87505031338048e-05,0.00191938579654511,0,0.002,0.802139037433155,NA
"98",4,0,4,0.000135685210312076,2.87505031338048e-05,0.00198019801980198,0,0.01,0.802139037433155,NA
"99",4,0,4,0.000135703623286742,2.87505031338048e-05,0.00198807157057654,0,0.011,0.802139037433155,NA
"100",4,0,4,0.00013588802826471,2.87505031338048e-05,0.00209643605870021,0,0.016,0.802139037433155,NA
"101",4,0,4,0.00013588802826471,2.87505031338048e-05,0.00209643605870021,0,0.016,0.802139037433155,NA
"103",6,0,6,0.000136295488619327,2.87505031338048e-05,0.00212314225053079,0,0.044,0.802139037433155,NA
"106",5,0,5,0.000135961930659415,2.87505031338048e-05,0.00212765957446809,0,0.024,0.802139037433155,NA
"108",4,0,4,0.000135685210312076,2.87505031338048e-05,0.00200803212851406,0,0.011,0.802139037433155,NA
"111",1,0,1,0.000133689839572193,2.87505031338048e-05,0.00170357751277683,0,0.002,0.802139037433155,NA
"167",1,0,1,0.000137741046831956,2.87505031338048e-05,0.0022883295194508,0,0.055,0.802139037433155,0.0053475935828877
