"","full_no_zero_indegree","full_no_zero_outdegree","full_no_zero_totaldegree","full_no_zero_incloseness","full_no_zero_outcloseness","full_no_zero_totalcloseness","full_no_zero_betweenness","full_no_zero_eigenvector","full_no_zero_reach_in_vec","full_no_zero_reach_out_vec","full_no_zero_sp_in_vec","full_no_zero_sp_out_vec"
"163",70,89,159,0.000151423379769836,0.002,0.00377358490566038,5162,0.667,0.818181818181818,NA,NA,NA
"192",38,64,102,0.000150398556173861,0.00184842883548983,0.00317460317460317,2752.5,0.401,0.818181818181818,NA,NA,NA
"170",106,105,211,0.000152439024390244,0.00210970464135021,0.00396825396825397,12503.3,1,0.818181818181818,NA,NA,NA
"177",18,39,57,0.000149925037481259,0.00180831826401447,0.00280898876404494,768.6,0.258,0.818181818181818,NA,NA,NA
"185",24,21,45,0.00015008254539997,0.00166112956810631,0.00277777777777778,153.7,0.353,0.818181818181818,NA,NA,NA
"187",20,26,46,0.000149947518368571,0.00162337662337662,0.00272479564032698,188.8,0.268,0.818181818181818,NA,NA,NA
"164",14,27,41,0.000149476831091181,0.00163934426229508,0.00261780104712042,180.6,0.168,0.818181818181818,NA,NA,NA
"118",18,27,45,0.000149835181300569,0.00171526586620926,0.00285714285714286,771.7,0.221,0.818181818181818,NA,NA,NA
"134",3,16,19,0.000146864444118079,0.0016750418760469,0.00253164556962025,34.4,0.019,0.818181818181818,NA,NA,NA
"136",9,4,13,0.000149499177754522,0.00155038759689923,0.00251256281407035,62.2,0.111,0.818181818181818,NA,NA,NA
"181",23,11,34,0.000150060024009604,0.00158227848101266,0.00263852242744063,224.5,0.304,0.818181818181818,NA,NA,NA
"180",21,8,29,0.000150172698603394,0.00153846153846154,0.00266666666666667,56.3,0.289,0.818181818181818,NA,NA,NA
"117",3,40,43,0.000146907595122668,0.00179533213644524,0.00277777777777778,478.5,0.022,0.818181818181818,NA,NA,NA
"138",5,24,29,0.000147362216327734,0.00173611111111111,0.00268096514745308,338,0.063,0.818181818181818,NA,NA,NA
"22",5,6,11,0.000149566257852229,0.00154559505409583,0.00242130750605327,4.3,0.134,0.818181818181818,NA,NA,NA
"145",4,8,12,0.000149387511204063,0.00156494522691706,0.00248756218905473,3.1,0.102,0.818181818181818,NA,NA,NA
"184",21,60,81,0.000150172698603394,0.00190114068441065,0.00305810397553517,847.5,0.311,0.818181818181818,NA,NA,NA
"191",39,20,59,0.000150579731968077,0.00169491525423729,0.00284900284900285,410.8,0.435,0.818181818181818,NA,NA,NA
"151",3,9,12,0.000147145379635079,0.0015748031496063,0.00241545893719807,266.2,0.024,0.818181818181818,NA,NA,NA
"162",8,8,16,0.000149365197908887,0.00153846153846154,0.00253164556962025,257.8,0.146,0.818181818181818,NA,NA,NA
"172",19,15,34,0.000150037509377344,0.0016366612111293,0.0026525198938992,149.3,0.28,0.818181818181818,NA,NA,NA
"137",4,7,11,0.000147058823529412,0.00153609831029186,0.00237529691211401,106.2,0.023,0.818181818181818,NA,NA,NA
"173",21,9,30,0.00015008254539997,0.00159235668789809,0.0026525198938992,53.9,0.313,0.818181818181818,NA,NA,NA
"112",1,37,38,0.000144759698899826,0.0017921146953405,0.00280112044817927,320.2,0.004,0.818181818181818,NA,NA,NA
"160",8,5,13,0.000147666863555818,0.00153609831029186,0.00242130750605327,551.5,0.053,0.818181818181818,NA,NA,NA
"68",2,3,5,0.000149075730471079,0.00129366106080207,0.00246305418719212,42.6,0.055,0.818181818181818,NA,NA,NA
"71",3,2,5,0.000146606069491277,0.0014903129657228,0.00254452926208651,4.6,0.012,0.818181818181818,NA,NA,NA
"174",22,30,52,0.000150127608467197,0.00171526586620926,0.00271739130434783,587.3,0.306,0.818181818181818,NA,NA,NA
"176",16,34,50,0.000149902563333833,0.0017921146953405,0.00275482093663912,538.8,0.248,0.818181818181818,NA,NA,NA
"179",15,21,36,0.000149857635246516,0.00170068027210884,0.00268817204301075,236.3,0.248,0.818181818181818,NA,NA,NA
"175",20,13,33,0.000149992500374981,0.001669449081803,0.00269541778975741,82.3,0.299,0.818181818181818,NA,NA,NA
"64",6,14,20,0.000149611011370437,0.0016,0.00251256281407035,199.6,0.158,0.818181818181818,NA,NA,NA
"190",20,17,37,0.000150060024009604,0.00169779286926995,0.00284090909090909,144.4,0.289,0.818181818181818,NA,NA,NA
"107",4,1,5,0.000146606069491277,0.00120481927710843,0.00198412698412698,4.8,0.01,0.818181818181818,NA,NA,NA
"178",15,3,18,0.000149902563333833,0.00123762376237624,0.00258397932816537,37.8,0.232,0.818181818181818,NA,NA,NA
"132",7,7,14,0.000147188695908154,0.00153609831029186,0.00242130750605327,118.3,0.03,0.818181818181818,NA,NA,NA
"124",10,15,25,0.000149476831091181,0.00166112956810631,0.00261780104712042,252.5,0.159,0.818181818181818,NA,NA,NA
"139",6,4,10,0.000147950880307738,0.00144508670520231,0.00234192037470726,18.6,0.089,0.818181818181818,NA,NA,NA
"144",3,5,8,0.000147492625368732,0.00160513643659711,0.00242718446601942,10,0.044,0.818181818181818,NA,NA,NA
"158",21,32,53,0.000149767859817283,0.00172413793103448,0.00274725274725275,436.7,0.213,0.818181818181818,NA,NA,NA
"188",17,34,51,0.000149947518368571,0.00179856115107914,0.00277008310249307,708.4,0.242,0.818181818181818,NA,NA,NA
"194",10,23,33,0.000149655791679138,0.00170648464163823,0.00267379679144385,91.5,0.172,0.818181818181818,NA,NA,NA
"195",11,23,34,0.000149499177754522,0.00170648464163823,0.0027027027027027,55.8,0.153,0.818181818181818,NA,NA,NA
"122",11,7,18,0.000149521531100478,0.00157977883096367,0.00256410256410256,138.4,0.131,0.818181818181818,NA,NA,NA
"159",3,10,13,0.000149142431021626,0.00160771704180064,0.0025,29.4,0.089,0.818181818181818,NA,NA,NA
"183",26,20,46,0.000150127608467197,0.00161550888529887,0.00267379679144385,356.5,0.305,0.818181818181818,NA,NA,NA
"110",3,3,6,0.000144404332129964,0.00124688279301746,0.00204918032786885,15.8,0.002,0.818181818181818,NA,NA,NA
"146",4,8,12,0.000147950880307738,0.00156985871271586,0.00245098039215686,3.8,0.064,0.818181818181818,NA,NA,NA
"147",4,8,12,0.000147950880307738,0.00156985871271586,0.00245098039215686,3.8,0.064,0.818181818181818,NA,NA,NA
"148",4,8,12,0.000147950880307738,0.00156985871271586,0.00245098039215686,3.8,0.064,0.818181818181818,NA,NA,NA
"149",4,8,12,0.000147950880307738,0.00156985871271586,0.00245098039215686,3.8,0.064,0.818181818181818,NA,NA,NA
"150",4,8,12,0.000147950880307738,0.00156985871271586,0.00245098039215686,3.8,0.064,0.818181818181818,NA,NA,NA
"128",1,4,5,0.000144154533660084,0.00151975683890578,0.00227272727272727,1.2,0.002,0.818181818181818,NA,NA,NA
"67",7,9,16,0.000148610491900728,0.00160513643659711,0.00251889168765743,190.3,0.124,0.818181818181818,NA,NA,NA
"102",3,39,42,0.000146756677428823,0.0017825311942959,0.00289017341040462,881.6,0.015,0.818181818181818,NA,NA,NA
"182",17,13,30,0.000149902563333833,0.00172413793103448,0.00279329608938547,999.3,0.257,0.818181818181818,NA,NA,NA
"37",10,12,22,0.00014972301242701,0.0016366612111293,0.00251889168765743,328.7,0.195,0.818181818181818,NA,NA,NA
"81",3,4,7,0.000146670577882077,0.00155038759689923,0.00256410256410256,62.3,0.015,0.818181818181818,NA,NA,NA
"165",27,18,45,0.000150398556173861,0.00174520069808028,0.00297619047619048,1343.7,0.31,0.818181818181818,NA,NA,NA
"73",3,26,29,0.000147167034584253,0.00140845070422535,0.0023094688221709,734.7,0.018,0.818181818181818,NA,NA,NA
"123",2,3,5,0.000146049364685264,0.00122699386503067,0.00182481751824818,1.5,0.005,0.818181818181818,NA,NA,NA
"51",7,7,14,0.000149633398174473,0.00160513643659711,0.00251256281407035,170.7,0.145,0.818181818181818,NA,NA,NA
"61",6,6,12,0.000149611011370437,0.00156739811912226,0.00248138957816377,28,0.158,0.818181818181818,NA,NA,NA
"129",7,11,18,0.000147362216327734,0.00161030595813205,0.00248756218905473,433.2,0.033,0.818181818181818,NA,NA,NA
"125",0,1,1,2.87505031338048e-05,2.89050757312984e-05,0.00152905198776758,0,0,0.0053475935828877,NA,NA,NA
"80",1,2,3,0.000147492625368732,2.90613193839e-05,0.00189393939393939,0,0.001,0.823529411764706,NA,NA,NA
"156",8,12,20,0.000149432157800359,0.00165289256198347,0.00253807106598985,453.8,0.127,0.818181818181818,NA,NA,NA
"161",15,8,23,0.000148170099273967,0.00160513643659711,0.00254452926208651,607,0.139,0.818181818181818,NA,NA,NA
"26",3,2,5,0.000149521531100478,0.00152439024390244,0.00240963855421687,124.4,0.101,0.818181818181818,NA,NA,NA
"23",5,2,7,0.000149678191887442,0.00152439024390244,0.00246305418719212,130.3,0.14,0.818181818181818,NA,NA,NA
"31",6,6,12,0.000149700598802395,0.00158227848101266,0.00246305418719212,138,0.161,0.818181818181818,NA,NA,NA
"33",6,6,12,0.00014972301242701,0.00159489633173844,0.00261780104712042,140.7,0.132,0.818181818181818,NA,NA,NA
"34",7,6,13,0.000149767859817283,0.00159235668789809,0.00263157894736842,79.7,0.149,0.818181818181818,NA,NA,NA
"35",9,7,16,0.000149790293588975,0.0015552099533437,0.0025062656641604,80.3,0.185,0.818181818181818,NA,NA,NA
"40",6,6,12,0.000149611011370437,0.0015600624024961,0.00247524752475248,262.4,0.15,0.818181818181818,NA,NA,NA
"42",8,6,14,0.000149678191887442,0.00155038759689923,0.00263852242744063,136.3,0.162,0.818181818181818,NA,NA,NA
"186",26,16,42,0.000150217815832958,0.00169204737732657,0.00271739130434783,248,0.383,0.818181818181818,NA,NA,NA
"113",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"114",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"115",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"116",4,4,8,0.000144508670520231,0.00123304562268804,0.00179856115107914,0,0.002,0.818181818181818,NA,NA,NA
"47",7,5,12,0.000149678191887442,0.00154798761609907,0.00245098039215686,404.5,0.15,0.818181818181818,NA,NA,NA
"76",8,1,9,0.000147994672191801,0.00134770889487871,0.00246305418719212,287.2,0.065,0.818181818181818,NA,NA,NA
"104",11,7,18,0.000147666863555818,0.00158730158730159,0.00267379679144385,1415.3,0.037,0.818181818181818,NA,NA,NA
"30",6,5,11,0.00014972301242701,0.00160771704180064,0.00245098039215686,12.6,0.157,0.818181818181818,NA,NA,NA
"127",11,4,15,0.000148148148148148,0.00157232704402516,0.00256410256410256,78.4,0.066,0.818181818181818,NA,NA,NA
"130",2,2,4,0.000143884892086331,0.00147710487444609,0.00225733634311512,184,0.001,0.818181818181818,NA,NA,NA
"46",7,16,23,0.00014972301242701,0.0016366612111293,0.00256410256410256,237,0.151,0.818181818181818,NA,NA,NA
"53",3,5,8,0.000149521531100478,0.00153846153846154,0.00241545893719807,4.7,0.108,0.818181818181818,NA,NA,NA
"54",6,6,12,0.000149588631264024,0.00156739811912226,0.00242718446601942,10.9,0.137,0.818181818181818,NA,NA,NA
"91",1,9,10,0.000144175317185698,0.0016260162601626,0.00247524752475248,2.7,0.003,0.818181818181818,NA,NA,NA
"135",3,6,9,0.000146177459435755,0.0015552099533437,0.00236406619385343,186.3,0.006,0.818181818181818,NA,NA,NA
"168",5,3,8,0.000149298297999403,0.00134048257372654,0.00236406619385343,314,0.084,0.818181818181818,NA,NA,NA
"55",9,10,19,0.000149700598802395,0.0016,0.00248138957816377,102.4,0.194,0.818181818181818,NA,NA,NA
"119",8,3,11,0.000147492625368732,0.00155038759689923,0.00264550264550265,4.5,0.047,0.818181818181818,NA,NA,NA
"120",2,1,3,0.000143884892086331,0.00116144018583043,0.00183823529411765,0,0.001,0.818181818181818,NA,NA,NA
"121",4,2,6,0.000146735143066764,0.00120048019207683,0.00198412698412698,0.8,0.016,0.818181818181818,NA,NA,NA
"24",7,2,9,0.000149767859817283,0.00153609831029186,0.00245700245700246,81.3,0.158,0.818181818181818,NA,NA,NA
"169",14,21,35,0.000149925037481259,0.00165289256198347,0.0026525198938992,396.8,0.248,0.818181818181818,NA,NA,NA
"157",2,2,4,0.00014494854326714,0.00126103404791929,0.00189393939393939,17.8,0.003,0.818181818181818,NA,NA,NA
"155",9,19,28,0.00014808233377758,0.00171232876712329,0.00259067357512953,52.5,0.126,0.818181818181818,NA,NA,NA
"140",3,1,4,0.000147514382652309,0.00119904076738609,0.00206185567010309,7,0.044,0.818181818181818,NA,NA,NA
"141",3,1,4,0.000147514382652309,0.00119904076738609,0.00206185567010309,7,0.044,0.818181818181818,NA,NA,NA
"38",6,3,9,0.000149611011370437,0.0015625,0.00245098039215686,9.1,0.158,0.818181818181818,NA,NA,NA
"48",6,8,14,0.000149611011370437,0.00163132137030995,0.0025,14.5,0.159,0.818181818181818,NA,NA,NA
"62",7,4,11,0.000149633398174473,0.0015600624024961,0.00246913580246914,10.9,0.167,0.818181818181818,NA,NA,NA
"142",3,1,4,0.000147536146355857,0.00124223602484472,0.00210526315789474,7.2,0.044,0.818181818181818,NA,NA,NA
"143",4,1,5,0.000147754137115839,0.00124223602484472,0.00214592274678112,8.8,0.059,0.818181818181818,NA,NA,NA
"65",9,5,14,0.000149678191887442,0.00159744408945687,0.00264550264550265,16.5,0.163,0.818181818181818,NA,NA,NA
"66",8,5,13,0.000149633398174473,0.0016,0.00244498777506112,11.4,0.162,0.818181818181818,NA,NA,NA
"6",9,6,15,0.000149790293588975,0.00155763239875389,0.00247524752475248,13.9,0.173,0.818181818181818,NA,NA,NA
"21",10,4,14,0.000149700598802395,0.00154320987654321,0.00246913580246914,15.1,0.185,0.818181818181818,NA,NA,NA
"25",7,2,9,0.00014972301242701,0.00153609831029186,0.00246305418719212,0.3,0.145,0.818181818181818,NA,NA,NA
"29",6,4,10,0.00014972301242701,0.00154320987654321,0.00245700245700246,2.2,0.157,0.818181818181818,NA,NA,NA
"41",7,4,11,0.000149633398174473,0.00156985871271586,0.00246913580246914,4.8,0.167,0.818181818181818,NA,NA,NA
"43",6,8,14,0.000149611011370437,0.00158478605388273,0.00246305418719212,4.5,0.148,0.818181818181818,NA,NA,NA
"45",6,8,14,0.000149611011370437,0.00158730158730159,0.00246913580246914,4.5,0.148,0.818181818181818,NA,NA,NA
"56",7,5,12,0.000149655791679138,0.0015600624024961,0.0024390243902439,55.8,0.152,0.818181818181818,NA,NA,NA
"57",14,5,19,0.000149812734082397,0.0015600624024961,0.00248138957816377,61.1,0.198,0.818181818181818,NA,NA,NA
"60",6,5,11,0.000149611011370437,0.00158730158730159,0.00246913580246914,3.5,0.154,0.818181818181818,NA,NA,NA
"153",11,15,26,0.000149476831091181,0.00167224080267559,0.00259067357512953,42.9,0.207,0.818181818181818,NA,NA,NA
"8",6,2,8,0.000149700598802395,0.00152439024390244,0.00244498777506112,2.5,0.158,0.818181818181818,NA,NA,NA
"12",4,2,6,0.000149655791679138,0.00152439024390244,0.0024330900243309,1.8,0.123,0.818181818181818,NA,NA,NA
"18",6,2,8,0.000149700598802395,0.00152439024390244,0.00244498777506112,2.5,0.158,0.818181818181818,NA,NA,NA
"2",5,3,8,0.000149700598802395,0.00156985871271586,0.00246913580246914,1,0.147,0.818181818181818,NA,NA,NA
"3",4,1,5,0.000149655791679138,0.00151975683890578,0.0024330900243309,0,0.128,0.818181818181818,NA,NA,NA
"5",5,3,8,0.000149678191887442,0.00153609831029186,0.00245098039215686,1.9,0.137,0.818181818181818,NA,NA,NA
"15",6,1,7,0.000149700598802395,0.00151975683890578,0.00247524752475248,0,0.133,0.818181818181818,NA,NA,NA
"16",4,3,7,0.000148610491900728,0.00156985871271586,0.00246913580246914,1,0.092,0.818181818181818,NA,NA,NA
"17",3,2,5,0.000149633398174473,0.00156739811912226,0.00242718446601942,0.3,0.113,0.818181818181818,NA,NA,NA
"19",5,2,7,0.000149678191887442,0.00156739811912226,0.0024390243902439,2.8,0.137,0.818181818181818,NA,NA,NA
"27",5,3,8,0.000149678191887442,0.00157232704402516,0.00244498777506112,5.7,0.144,0.818181818181818,NA,NA,NA
"28",5,1,6,0.000149678191887442,0.00151975683890578,0.00246305418719212,0,0.129,0.818181818181818,NA,NA,NA
"32",6,1,7,0.000149700598802395,0.00151975683890578,0.00244498777506112,0,0.153,0.818181818181818,NA,NA,NA
"36",8,6,14,0.000149857635246516,0.00160513643659711,0.00248756218905473,40.4,0.177,0.818181818181818,NA,NA,NA
"39",6,2,8,0.000149611011370437,0.00153139356814701,0.00242718446601942,0.8,0.166,0.818181818181818,NA,NA,NA
"44",6,1,7,0.000149611011370437,0.00151975683890578,0.00245098039215686,0,0.143,0.818181818181818,NA,NA,NA
"49",9,1,10,0.000149700598802395,0.00151975683890578,0.00248756218905473,7.2,0.17,0.818181818181818,NA,NA,NA
"50",5,2,7,0.000149588631264024,0.00156739811912226,0.00246913580246914,0.9,0.131,0.818181818181818,NA,NA,NA
"52",9,2,11,0.000149700598802395,0.0015220700152207,0.0024330900243309,50.8,0.173,0.818181818181818,NA,NA,NA
"58",6,1,7,0.000149588631264024,0.00151975683890578,0.00242130750605327,2.6,0.149,0.818181818181818,NA,NA,NA
"59",5,2,7,0.000149566257852229,0.00153846153846154,0.00240384615384615,6.7,0.125,0.818181818181818,NA,NA,NA
"63",5,1,6,0.000149588631264024,0.00151975683890578,0.00242130750605327,0,0.134,0.818181818181818,NA,NA,NA
"152",2,1,3,0.000149053510210165,0.00151975683890578,0.0023094688221709,0,0.056,0.818181818181818,NA,NA,NA
"171",33,1,34,0.000150511739915713,0.00151975683890578,0.00265957446808511,195.1,0.364,0.818181818181818,NA,NA,NA
"193",14,2,16,0.000149835181300569,0.00156739811912226,0.0025,390,0.159,0.818181818181818,NA,NA,NA
"20",6,1,7,0.000149611011370437,0.00118906064209275,0.00241545893719807,0.1,0.145,0.818181818181818,NA,NA,NA
"189",5,2,7,0.000147362216327734,0.00135685210312076,0.00204498977505112,3.3,0.044,0.818181818181818,NA,NA,NA
"1",2,1,3,0.000148522204069508,0.00137931034482759,0.00228310502283105,0.3,0.059,0.818181818181818,NA,NA,NA
"7",3,1,4,0.000149633398174473,0.00137931034482759,0.00242718446601942,0.3,0.113,0.818181818181818,NA,NA,NA
"9",2,1,3,0.000148522204069508,0.00137931034482759,0.00228310502283105,0.3,0.059,0.818181818181818,NA,NA,NA
"13",3,1,4,0.000149633398174473,0.00137931034482759,0.00242718446601942,0.3,0.113,0.818181818181818,NA,NA,NA
"14",2,1,3,0.000148522204069508,0.00137931034482759,0.00228310502283105,0.3,0.059,0.818181818181818,NA,NA,NA
"77",10,1,11,0.000149454491107458,0.00121802679658952,0.00266666666666667,6.3,0.094,0.818181818181818,NA,NA,NA
"84",4,1,5,0.000144969556393157,0.00122100122100122,0.00209205020920502,4.9,0.005,0.818181818181818,NA,NA,NA
"4",3,0,3,0.00015281173594132,2.87505031338048e-05,0.00229357798165138,0,0.073,0.823529411764706,NA,NA,NA
"10",4,0,4,0.000153917192550408,2.87505031338048e-05,0.0024330900243309,0,0.128,0.823529411764706,NA,NA,NA
"11",3,0,3,0.00015389350569406,2.87505031338048e-05,0.00242718446601942,0,0.113,0.823529411764706,NA,NA,NA
"69",2,0,2,0.000147907114332199,2.87505031338048e-05,0.00204498977505112,0,0.001,0.823529411764706,NA,NA,NA
"72",2,0,2,0.000148367952522255,2.87505031338048e-05,0.00179856115107914,0,0.002,0.823529411764706,NA,NA,NA
"74",11,0,11,0.00015389350569406,2.87505031338048e-05,0.00268096514745308,0,0.121,0.823529411764706,NA,NA,NA
"75",5,0,5,0.000150738619234248,2.87505031338048e-05,0.00201207243460765,0,0.013,0.823529411764706,NA,NA,NA
"78",4,0,4,0.000155424308361828,2.87505031338048e-05,0.00213219616204691,0,0.017,0.828877005347594,NA,NA,NA
"79",3,0,3,0.000155207201614155,2.87505031338048e-05,0.00208333333333333,0,0.015,0.828877005347594,NA,NA,NA
"82",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"83",2,0,2,0.000151653017895056,2.87505031338048e-05,0.00188679245283019,0,0.001,0.828877005347594,NA,NA,NA
"85",4,0,4,0.000150557061126167,2.87505031338048e-05,0.00196078431372549,0,0.008,0.823529411764706,NA,NA,NA
"86",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"87",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"88",4,0,4,0.000150715900527506,2.87505031338048e-05,0.00198019801980198,0,0.01,0.823529411764706,NA,NA,NA
"89",4,0,4,0.000150738619234248,2.87505031338048e-05,0.00198807157057654,0,0.011,0.823529411764706,NA,NA,NA
"90",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"92",4,0,4,0.000150715900527506,2.87505031338048e-05,0.00198412698412698,0,0.009,0.823529411764706,NA,NA,NA
"93",5,0,5,0.000150875075437538,2.87505031338048e-05,0.00201612903225806,0,0.02,0.823529411764706,NA,NA,NA
"94",4,0,4,0.000151171579743008,2.87505031338048e-05,0.00209643605870021,0,0.019,0.823529411764706,NA,NA,NA
"95",3,0,3,0.000151263046437755,2.87505031338048e-05,0.00211864406779661,0,0.019,0.823529411764706,NA,NA,NA
"96",4,0,4,0.000150647785477553,2.87505031338048e-05,0.00198019801980198,0,0.01,0.823529411764706,NA,NA,NA
"97",3,0,3,0.00014830194275545,2.87505031338048e-05,0.00191938579654511,0,0.002,0.823529411764706,NA,NA,NA
"98",4,0,4,0.000150647785477553,2.87505031338048e-05,0.00198019801980198,0,0.01,0.823529411764706,NA,NA,NA
"99",4,0,4,0.000150670483652253,2.87505031338048e-05,0.00198807157057654,0,0.011,0.823529411764706,NA,NA,NA
"100",4,0,4,0.000150897842160857,2.87505031338048e-05,0.00209643605870021,0,0.016,0.823529411764706,NA,NA,NA
"101",4,0,4,0.000150897842160857,2.87505031338048e-05,0.00209643605870021,0,0.016,0.823529411764706,NA,NA,NA
"103",6,0,6,0.000151400454201363,2.87505031338048e-05,0.00212314225053079,0,0.044,0.823529411764706,NA,NA,NA
"106",5,0,5,0.00015098897780462,2.87505031338048e-05,0.00212765957446809,0,0.024,0.823529411764706,NA,NA,NA
"108",4,0,4,0.000150647785477553,2.87505031338048e-05,0.00200803212851406,0,0.011,0.823529411764706,NA,NA,NA
"111",1,0,1,0.000148104265402844,2.87505031338048e-05,0.00170357751277683,0,0.002,0.823529411764706,NA,NA,NA
"167",1,0,1,0.000153233220962305,2.87505031338048e-05,0.0022883295194508,0,0.055,0.823529411764706,0.0053475935828877,Inf,Inf
