"","temp_indegree","temp_outdegree","temp_totaldegree","temp_incloseness","temp_outcloseness","temp_totalcloseness","temp_betweenness","temp_eigenvector","temp_reach_in_vec","temp_reach_out_vec"
"1",2,0,2,6.4e-05,2.9e-05,0.000631,0,0.081,0.561497326203209,0.0053475935828877
"2",4,1,5,6.3e-05,0.000448,0.000645,0.3,0.195,0.556149732620321,NA
"3",3,1,4,6.3e-05,0.000479,0.000644,0,0.167,0.556149732620321,NA
"4",4,2,6,6.3e-05,0.00048,0.000646,1.3,0.182,0.556149732620321,NA
"5",6,3,9,6.3e-05,0.000459,0.000648,21.1,0.217,0.556149732620321,NA
"6",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"7",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.182,0.561497326203209,NA
"8",2,0,2,6.4e-05,2.9e-05,0.000631,0,0.081,0.561497326203209,NA
"9",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.182,0.561497326203209,NA
"10",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"11",2,0,2,6.4e-05,2.9e-05,0.000631,0,0.081,0.561497326203209,NA
"12",5,1,6,6.3e-05,0.000479,0.000647,9.4,0.17,0.556149732620321,NA
"13",3,1,4,6.3e-05,0.000448,0.000633,0.3,0.109,0.556149732620321,NA
"14",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"15",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.182,0.561497326203209,NA
"16",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.182,0.561497326203209,NA
"17",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.178,0.561497326203209,NA
"18",6,1,7,6.3e-05,0.000448,0.000645,1.9,0.224,0.556149732620321,NA
"19",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.185,0.561497326203209,NA
"20",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"21",4,1,5,6.3e-05,0.000441,0.000647,274,0.197,0.556149732620321,NA
"22",4,1,5,6.3e-05,0.000479,0.000644,0,0.167,0.556149732620321,NA
"23",3,0,3,6.4e-05,2.9e-05,0.000642,0,0.148,0.561497326203209,NA
"24",3,2,5,6.3e-05,0.000481,0.000644,1.1,0.167,0.556149732620321,NA
"25",4,1,5,6.3e-05,0.000479,0.000646,2,0.167,0.556149732620321,NA
"26",4,1,5,6.4e-05,2.9e-05,0.000646,0.7,0.197,0.561497326203209,NA
"27",4,2,6,6.3e-05,0.000481,0.000645,31.8,0.197,0.556149732620321,NA
"28",4,3,7,6.3e-05,0.000482,0.000645,1.3,0.196,0.556149732620321,NA
"29",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.182,0.561497326203209,NA
"30",5,0,5,6.4e-05,2.9e-05,0.000661,0,0.17,0.561497326203209,NA
"31",5,1,6,6.3e-05,0.000467,0.00066,12.2,0.197,0.556149732620321,NA
"32",6,5,11,6.3e-05,0.000483,0.000648,50.7,0.216,0.556149732620321,NA
"33",5,4,9,6.3e-05,0.000483,0.000647,112.2,0.227,0.556149732620321,NA
"34",8,0,8,6.4e-05,2.9e-05,0.00065,0,0.25,0.561497326203209,NA
"35",5,0,5,6.4e-05,2.9e-05,0.000645,0,0.233,0.561497326203209,NA
"36",4,2,6,6.3e-05,0.00048,0.000644,0,0.206,0.556149732620321,NA
"37",4,3,7,6.3e-05,0.00048,0.000645,0,0.206,0.556149732620321,NA
"38",5,1,6,6.3e-05,0.000455,0.000645,0.4,0.221,0.556149732620321,NA
"39",6,2,8,6.3e-05,0.000448,0.000664,4.6,0.206,0.556149732620321,NA
"40",6,2,8,6.3e-05,0.000473,0.000645,2.7,0.25,0.556149732620321,NA
"41",5,1,6,6.3e-05,0.000479,0.000648,2,0.206,0.556149732620321,NA
"42",6,5,11,6.3e-05,0.000478,0.000646,11.1,0.25,0.556149732620321,NA
"43",5,14,19,6.3e-05,0.000492,0.000654,532.2,0.213,0.556149732620321,NA
"44",5,0,5,6.4e-05,2.9e-05,0.000644,0,0.213,0.561497326203209,NA
"45",5,7,12,6.3e-05,0.000487,0.000648,5.1,0.227,0.556149732620321,NA
"46",6,1,7,6.3e-05,0.000479,0.000648,2,0.213,0.556149732620321,NA
"47",4,0,4,6.4e-05,2.9e-05,0.000644,0,0.197,0.561497326203209,NA
"48",6,0,6,6.4e-05,2.9e-05,0.000646,0,0.204,0.561497326203209,NA
"49",8,1,9,6.3e-05,0.000448,0.000647,179.8,0.262,0.556149732620321,NA
"50",3,2,5,6.3e-05,0.000449,0.000646,1.6,0.169,0.556149732620321,NA
"51",3,5,8,6.3e-05,0.000484,0.000645,20.6,0.169,0.556149732620321,NA
"52",4,6,10,6.3e-05,0.000483,0.000646,1.2,0.199,0.556149732620321,NA
"53",5,5,10,6.3e-05,0.000484,0.000646,4.8,0.214,0.556149732620321,NA
"54",10,2,12,6.3e-05,0.00048,0.000647,1.8,0.219,0.556149732620321,NA
"55",5,1,6,6.3e-05,0.000479,0.000645,58.4,0.209,0.556149732620321,NA
"56",3,2,5,6.3e-05,0.00048,0.000644,0,0.169,0.556149732620321,NA
"57",5,0,5,6.4e-05,2.9e-05,0.000645,0,0.233,0.561497326203209,NA
"58",5,3,8,6.3e-05,0.00048,0.000645,1,0.233,0.556149732620321,NA
"59",5,1,6,6.3e-05,0.000455,0.000645,0,0.233,0.556149732620321,NA
"60",5,1,6,6.3e-05,0.000479,0.000645,0,0.221,0.556149732620321,NA
"61",5,4,9,6.3e-05,0.000482,0.000648,49.3,0.233,0.556149732620321,NA
"62",8,0,8,6.4e-05,2.9e-05,0.000649,0,0.267,0.561497326203209,NA
"63",8,1,9,6.3e-05,0.000448,0.000649,2.6,0.267,0.556149732620321,NA
"64",6,9,15,6.3e-05,0.00049,0.000659,840.8,0.166,0.556149732620321,NA
"65",1,3,4,6.2e-05,0.000438,0.000619,1.7,0,0.556149732620321,NA
"66",2,2,4,6.2e-05,0.000473,0.000659,114.7,0,0.556149732620321,NA
"67",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"68",3,1,4,6.3e-05,0.000491,0.000619,3552.9,0.003,0.556149732620321,NA
"69",1,1,2,6.2e-05,0.000445,0.000614,3.2,0,0.556149732620321,NA
"71",1,2,3,6.2e-05,2.9e-05,0.00057,0,0,0.561497326203209,NA
"72",1,0,1,6.2e-05,2.9e-05,0.00057,0,0,0.561497326203209,NA
"73",2,1,3,6.2e-05,0.000445,0.000619,4.2,0,0.556149732620321,NA
"74",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,NA
"75",1,35,36,6.2e-05,0.000499,0.000635,734,0,0.556149732620321,NA
"76",7,5,12,6.7e-05,3e-05,0.000622,632,0.018,0.582887700534759,NA
"77",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"78",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"79",1,37,38,6.2e-05,0.000538,0.00068,3627.9,0,0.556149732620321,NA
"80",4,4,8,6.6e-05,3e-05,0.000561,0,0.002,0.582887700534759,NA
"81",4,4,8,6.6e-05,3e-05,0.000561,0,0.002,0.582887700534759,NA
"82",4,4,8,6.6e-05,3e-05,0.000561,0,0.002,0.582887700534759,NA
"83",4,4,8,6.6e-05,3e-05,0.000561,0,0.002,0.582887700534759,NA
"84",1,17,18,6.2e-05,0.000494,0.000641,277.2,0.001,0.556149732620321,NA
"85",5,18,23,6.3e-05,0.000505,0.000669,973.6,0.052,0.556149732620321,NA
"86",4,2,6,6.3e-05,0.000483,0.000662,219.7,0.008,0.556149732620321,NA
"87",2,0,2,6.4e-05,2.9e-05,0.000576,0,0,0.566844919786096,NA
"88",3,0,3,6.4e-05,2.9e-05,0.000599,0,0.007,0.561497326203209,NA
"89",4,1,5,6.3e-05,0.00048,0.000645,0.3,0.071,0.556149732620321,NA
"90",2,2,4,6.3e-05,0.000414,0.000565,0,0.004,0.556149732620321,NA
"91",2,5,7,6.3e-05,0.000485,0.000649,82.3,0.052,0.556149732620321,NA
"92",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,NA
"93",2,1,3,6.3e-05,0.000446,0.00062,36.5,0.038,0.556149732620321,NA
"94",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,NA
"95",2,3,5,6.3e-05,0.00047,0.000606,347.1,0.006,0.556149732620321,NA
"96",1,1,2,6.3e-05,2.9e-05,0.000576,0,0,0.561497326203209,NA
"97",2,3,5,6.3e-05,0.000476,0.000641,0,0.006,0.556149732620321,NA
"98",1,5,6,6.3e-05,0.000484,0.000645,7.5,0.004,0.556149732620321,NA
"99",2,2,4,6.3e-05,0.000414,0.000565,0,0.004,0.556149732620321,NA
"100",2,2,4,6.3e-05,0.000465,6e-04,0,0.008,0.556149732620321,NA
"101",3,5,8,6.3e-05,0.000478,0.000647,380.5,0.022,0.556149732620321,NA
"102",3,9,12,6.3e-05,0.000482,0.000622,160.6,0.036,0.556149732620321,NA
"103",2,3,5,6.3e-05,0.000459,0.000605,22.8,0.054,0.556149732620321,NA
"104",1,0,1,6.4e-05,2.9e-05,0.000585,0,0.018,0.561497326203209,NA
"106",1,0,1,6.4e-05,2.9e-05,0.000585,0,0.018,0.561497326203209,NA
"107",1,0,1,6.4e-05,2.9e-05,0.000585,0,0.018,0.561497326203209,NA
"108",2,0,2,6.4e-05,2.9e-05,0.000593,0,0.045,0.561497326203209,NA
"110",1,4,5,6.3e-05,0.000482,0.000644,0.5,0.018,0.556149732620321,NA
"111",2,8,10,6.3e-05,0.000488,0.000648,47.7,0.097,0.556149732620321,NA
"112",1,8,9,6.3e-05,0.000488,0.000647,0.2,0.011,0.556149732620321,NA
"113",1,8,9,6.3e-05,0.000488,0.000647,0.2,0.011,0.556149732620321,NA
"114",1,8,9,6.3e-05,0.000488,0.000647,0.2,0.011,0.556149732620321,NA
"115",1,8,9,6.3e-05,0.000488,0.000647,0.2,0.011,0.556149732620321,NA
"116",1,8,9,6.3e-05,0.000488,0.000647,0.2,0.011,0.556149732620321,NA
"117",1,0,1,6.8e-05,2.9e-05,0.000509,0,0,0.593582887700535,NA
"118",0,1,1,2.9e-05,0.000526,0.000635,0,0,0.0053475935828877,NA
"119",6,12,18,6.3e-05,0.000483,0.00065,45,0.232,0.556149732620321,NA
"120",5,18,23,6.3e-05,0.000492,0.000652,120.3,0.135,0.556149732620321,NA
"121",5,4,9,6.3e-05,0.000496,0.000638,20.5,0.074,0.556149732620321,NA
"122",1,1,2,6.7e-05,2.9e-05,0.00056,109,0.002,0.588235294117647,NA
"123",14,31,45,6.3e-05,0.000508,0.000664,1187.4,0.125,0.556149732620321,NA
"124",1,6,7,6.3e-05,0.000511,0.000647,3595,0.03,0.556149732620321,NA
"125",0,1,1,2.9e-05,0.000517,0.000626,0,0,0.0053475935828877,NA
"127",2,2,4,6.3e-05,0.000445,0.000617,89.1,0.033,0.556149732620321,NA
"128",4,5,9,6.3e-05,0.000452,0.000646,51.1,0.142,0.556149732620321,NA
"129",31,89,120,6.4e-05,0.000515,0.000705,3549.3,0.547,0.556149732620321,NA
"130",6,27,33,6.3e-05,0.000491,0.000657,240.6,0.179,0.556149732620321,NA
"132",16,2,18,6.4e-05,0.000483,0.000669,529.1,0.338,0.556149732620321,NA
"134",4,3,7,6.3e-05,0.000447,0.000629,554.1,0.048,0.556149732620321,NA
"135",7,0,7,6.4e-05,2.9e-05,0.000648,0,0.297,0.561497326203209,NA
"136",52,92,144,6.4e-05,0.000524,0.000716,7914.5,1,0.556149732620321,NA
"137",21,1,22,6.4e-05,0.000479,0.000655,1.9,0.361,0.556149732620321,NA
"138",12,9,21,6.4e-05,0.000487,0.000655,526.5,0.316,0.556149732620321,NA
"139",11,9,20,6.4e-05,0.000485,0.000652,53.3,0.34,0.556149732620321,NA
"140",16,25,41,6.4e-05,0.000495,0.00066,758.6,0.42,0.556149732620321,NA
"141",14,5,19,6.4e-05,0.000486,0.000652,545.6,0.413,0.556149732620321,NA
"142",10,25,35,6.4e-05,0.000505,0.000657,253.7,0.344,0.556149732620321,NA
"143",10,27,37,6.4e-05,0.000509,0.000663,478.8,0.325,0.556149732620321,NA
"144",10,2,12,6.4e-05,0.000416,0.00065,8.8,0.33,0.556149732620321,NA
"145",10,18,28,6.4e-05,0.000492,0.000655,46.9,0.319,0.556149732620321,NA
"146",14,0,14,6.4e-05,2.9e-05,0.000652,0,0.385,0.561497326203209,NA
"147",14,10,24,6.4e-05,0.000471,0.000654,436.8,0.356,0.556149732620321,NA
"148",10,6,16,6.4e-05,0.00048,0.000654,81.3,0.33,0.556149732620321,NA
"149",20,0,20,6.4e-05,2.9e-05,0.000654,0,0.398,0.561497326203209,NA
"150",12,58,70,6.4e-05,0.000517,0.000678,1003.2,0.422,0.556149732620321,NA
"151",15,3,18,6.4e-05,0.000483,0.000651,31.1,0.448,0.556149732620321,NA
"152",22,10,32,6.4e-05,0.000502,0.000664,1323.1,0.551,0.556149732620321,NA
"153",10,0,10,6.5e-05,2.9e-05,0.000649,0,0.287,0.566844919786096,NA
"155",14,27,41,6.4e-05,0.000515,0.000663,4301.3,0.344,0.556149732620321,NA
"156",4,2,6,6.3e-05,0.000476,0.000609,220.7,0.052,0.556149732620321,NA
"157",16,2,18,6.4e-05,0.000476,0.000656,134.9,0.398,0.556149732620321,NA
"158",13,0,13,6.4e-05,2.9e-05,0.00065,0,0.272,0.561497326203209,NA
"159",18,45,63,6.4e-05,0.000509,0.000674,1249.5,0.391,0.556149732620321,NA
"160",12,2,14,6.3e-05,0.000481,0.000651,369.9,0.179,0.556149732620321,NA
"161",9,4,13,6.3e-05,0.000487,0.000649,630.7,0.281,0.556149732620321,NA
"162",7,4,11,6.3e-05,0.000487,0.000647,66.9,0.161,0.556149732620321,NA
"163",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"164",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"165",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"167",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"168",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"169",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"170",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"171",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"172",3,0,3,6.3e-05,2.9e-05,0.000613,0,0,0.561497326203209,NA
"173",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"174",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"175",3,0,3,6.4e-05,2.9e-05,0.00062,0,0.014,0.561497326203209,NA
"176",4,0,4,6.4e-05,2.9e-05,0.00062,0,0.006,0.561497326203209,NA
"177",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"178",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"179",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"180",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"181",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"182",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"183",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"184",2,0,2,6.3e-05,2.9e-05,0.000612,0,0,0.561497326203209,NA
"185",2,0,2,6.3e-05,2.9e-05,0.00057,0,0,0.566844919786096,NA
"186",2,0,2,6.3e-05,2.9e-05,0.00057,0,0,0.566844919786096,NA
"187",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,NA
"188",1,0,1,6.2e-05,2.9e-05,0.00057,0,0,0.561497326203209,NA
"189",1,0,1,6.2e-05,2.9e-05,0.00057,0,0,0.561497326203209,NA
"190",1,0,1,6.3e-05,2.9e-05,0.000606,0,0,0.561497326203209,NA
"191",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,NA
"192",2,0,2,6.4e-05,2.9e-05,0.000631,0,0.081,0.561497326203209,NA
"193",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"194",3,0,3,6.4e-05,2.9e-05,0.000644,0,0.167,0.561497326203209,NA
"195",0,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0053475935828877,0.0053475935828877
