"";"ID";"Inserir.localização.geográfica.do.serviço (Atualizar com base no Google Earth)";"groups1a._geo_kml_latitude";"groups1a._geo_kml_longitude";"groups1a._geo_kml_altitude";"groups1a._geo_kml_precision"
"124";"q124_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.Juiz.de.Fora.Contra.as.Drogas";"-21.799662332558423 -43.348124391699116 839.7567380851509 16.0";-21,7996623325584;-43,3481243916991;839,756738085151;16
"125";"q125_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Tratamento.Deville";"-21.837414238259694 -43.41336795765311 555.2037525196054 12.0";-21,8374142382597;-43,4133679576531;555,203752519605;12
"126";"q126_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Núcleo.de.Apoio.aos.Toxicômanos.Anônimos.de.Juiz.de.Fora..NATA.";NA;NA;NA;NA;NA
"127";"q127_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Metodista.de.Assistência.aos.Toxicômanos...CEMAT";NA;NA;NA;NA;NA
"128";"q128_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Comunidade.Terapêutica.Família.em.Cristo";"-21.806872684857815 -43.353482353559144 816.8726673144822 12.0";-21,8068726848578;-43,3534823535591;816,872667314482;12
"129";"q129_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.SOS.Vida";NA;NA;NA;NA;NA
"130";"q130_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.Terapêutico.Reconstruir..fazenda.";NA;NA;NA;NA;NA
"131";"q131_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Reencontro.com.a.Vida";NA;NA;NA;NA;NA
"132";"q132_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos...GAFADEQUI";"-21.77012242 -43.29504532 643.7999877929688 10.0";-21,77012242;-43,29504532;643,799987792969;10
"133";"q133_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Associação.Projeto.Amor.e.Resgate";NA;NA;NA;NA;NA
"134";"q134_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Comunidade.Terapêutica.Geração.de.Adoradores...CTGA";NA;NA;NA;NA;NA
"135";"q135_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Vila.Verde..Unidade.Borboleta.";NA;NA;NA;NA;NA
"136";"q136_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Centro.de.Recuperação.Resgatando.Vidas";NA;NA;NA;NA;NA
"137";"q137_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos...GAFADEQUI.1";NA;NA;NA;NA;NA
"138";"q138_Entidades.Assistênciais.e.Dependencia.Química.e.CT...Grupo.de.Apoio.à.Família.e.aos.Dependentes.Químicos…Território Aliança Zona Norte";"-21.701008386759074 -43.42773720723765 673.7759132808256 24.0";-21,7010083867591;-43,4277372072376;673,775913280826;24
"139";"q139_Residência.Terapeutica...Casa.1";NA;NA;NA;NA;NA
"140";"q140_Residência.Terapeutica...Casa.3";NA;NA;NA;NA;NA
"141";"q141_Residência.Terapeutica...Casa.4";NA;NA;NA;NA;NA
"142";"q142_Residência.Terapeutica...Casa.5";NA;NA;NA;NA;NA
"143";"q143_Residência.Terapeutica...Casa.6";NA;NA;NA;NA;NA
"144";"q144_Residência.Terapeutica...Casa.7";NA;NA;NA;NA;NA
"145";"q145_Residência.Terapeutica...Casa.V1";NA;NA;NA;NA;NA
"146";"q146_Residência.Terapeutica...Casa.V2";NA;NA;NA;NA;NA
"147";"q147_Residência.Terapeutica...Casa.V3";NA;NA;NA;NA;NA
"148";"q148_Residência.Terapeutica...Casa.V4";NA;NA;NA;NA;NA
"149";"q149_Residência.Terapeutica...Casa.V5";"-21.7932348 -43.3497176 0.0 2573.0";-21,7932348;-43,3497176;0;2573
"150";"q150_Residência.Terapeutica...Casa.V6";NA;NA;NA;NA;NA
"151";"q151_Entidades.Socioassistenciais...Associação.Beneficente.e.Cultural.Amigos.do.Noivo..ABAN...Matriz.";"-21.762387252377547 -43.34889456412234 692.675143151181 32.0";-21,7623872523775;-43,3488945641223;692,675143151181;32
"152";"q152_Entidades.Socioassistenciais...ONG.Saída";NA;NA;NA;NA;NA
"153";"q153_Entidades.Socioassistenciais...Instituto.Veredas..Projeto..Assessoria.e.Prática.em.Saúde.Mental.....Serviço.de.Referência.para.Adolescentes.do.Instituto.Veredas";"-21.760865335879586 -43.35386341045143 729.9424581259208 12.0";-21,7608653358796;-43,3538634104514;729,942458125921;12
"154";"q154_Entidades.Socioassistenciais...Associação.Metodista.de.Ação.Social.do.Bairro.São.Mateus..AMAS.";NA;NA;NA;NA;NA
"155";"q155_Entidades.Socioassistenciais...Casa.de.Acolhimento.à.Infância.e.Adolescente..CAIA.";"-21.76234792034946 -43.354018490054976 711.7367192097838 12.0";-21,7623479203495;-43,354018490055;711,736719209784;12
"156";"q156_Entidades.Socioassistenciais...Fundação.Maria.Mãe";NA;NA;NA;NA;NA
"157";"q157_Entidades.Socioassistenciais...Associação.Beneficente.e.Cultural.Amigos.do.Noivo..ABAN.";"-21.765590908643773 -43.368637945569795 858.700289816448 6.0";-21,7655909086438;-43,3686379455698;858,700289816448;6
"158";"q158_Entidades.Socioassistenciais...Associação.Casa.Viva";"-21.795207414422 -43.341826019302566 716.3218736720876 16.0";-21,795207414422;-43,3418260193026;716,321873672088;16
"159";"q159_Entidades.Socioassistenciais...Casa.São.Camilo.de.Lelis";NA;NA;NA;NA;NA
"160";"q160_Entidades.Socioassistenciais…ABAN  Dom Bosco";NA;NA;NA;NA;NA
"161";"q161_Entidades.Socioassistenciais…GEDAE";NA;NA;NA;NA;NA
"162";"q162_Assistência.Hospitalar...Centro.de.Referência.em.Álcool.e.Drogas..RADCAS..Hospital.Universitário";"-21.78605155068011 -43.368202916880215 880.2561095866372 24.0";-21,7860515506801;-43,3682029168802;880,256109586637;24
"163";"q163_Assistência.Hospitalar...Hospital.de.Pronto.Socorro...HPS";NA;NA;NA;NA;NA
"164";"q164_Assistência.Hospitalar...Serviço.de.Controle.e.Prevenção.e.Tratamento.do.Tabagismo..SECOPTT.";"-21.759837892522746 -43.34933751829087 702.2046040737961 200.0";-21,7598378925227;-43,3493375182909;702,204604073796;200
"165";"q165_Assistência.Hospitalar...Hospital.Ana.Nery";NA;NA;NA;NA;NA
"166";"q166_Assistência.Hospitalar...Hospital.Regional.João.Penido";NA;NA;NA;NA;NA
"167";"q167_Assistência.Hospitalar...Hospital.de.Toxicômanos";NA;NA;NA;NA;NA
"168";"q168_Assistência.Hospitalar...Clínica.Vila.Verde..Hospital.Dia.";NA;NA;NA;NA;NA
"169";"q169_Assistência.Hospitalar...Casa.de.Saúde.Esperança";NA;NA;NA;NA;NA
"170";"q170_CAPS...CAPS.AD";NA;NA;NA;NA;NA
"171";"q171_CAPS...CAPS.Casa.Viva";NA;NA;NA;NA;NA
"172";"q172_CAPS...CAPS.HU";NA;NA;NA;NA;NA
"173";"q173_CAPS...CAPS.IJ";NA;NA;NA;NA;NA
"174";"q174_CAPS...CAPS.Leste";NA;NA;NA;NA;NA
"175";"q175_CRAS...CRAS.Leste.Linhares";"-21.73019881548099 -43.32807192094198 753.8017761099818 24.0";-21,730198815481;-43,328071920942;753,801776109982;24
"176";"q176_CRAS...CRAS.Leste.São.Benedito";"-21.75231178170894 -43.3252221950378 848.2445592632545 16.0";-21,7523117817089;-43,3252221950378;848,244559263254;16
"177";"q177_CRAS...CRAS.Sudeste.Costa.Carvalho";"-21.763399923592207 -43.33358879511328 645.5631429432474 12.0";-21,7633999235922;-43,3335887951133;645,563142943247;12
"178";"q178_CRAS...CRAS.Sudeste.Olavo.Costa";"-21.77403376300634 -43.3346637463307 770.0917585231851 32.0";-21,7740337630063;-43,3346637463307;770,091758523185;32
"179";"q179_CRAS...CRAS.Nordeste.Grama";"-21.694639270923826 -43.35366083126624 767.0604316600578 6.0";-21,6946392709238;-43,3536608312662;767,060431660058;6
"180";"q180_CRAS...CRAS.Centro";"-21.762678120529586 -43.34274892615997 700.7591406053526 12.0";-21,7626781205296;-43,34274892616;700,759140605353;12
"181";"q181_CRAS...CRAS.Norte.Benfica";"-21.690277048596286 -43.43383448219818 708.0886779530891 6.0";-21,6902770485963;-43,4338344821982;708,088677953089;6
"182";"q182_CRAS...CRAS.Oeste.São.Pedro";"-21.774404374344382 -43.37733723513368 881.0594525387146 8.0";-21,7744043743444;-43,3773372351337;881,059452538715;8
"183";"q183_CRAS...CRAS.Sul.Ipiranga";"-21.794997779717693 -43.35119115569321 731.2622796766636 12.0";-21,7949977797177;-43,3511911556932;731,262279676664;12
"184";"q184_CREAS...CREAS.Idoso.e.Mulher";"-21.762380490346953 -43.34341314671873 686.5830617642354 16.0";-21,762380490347;-43,3434131467187;686,583061764235;16
"185";"q185_CREAS...CREAS.Infância.e.Juventude";"-21.76269377190325 -43.342842781783055 716.745858138368 32.0";-21,7626937719033;-43,3428427817831;716,745858138368;32
"186";"q186_CREAS...CREAS.População.de.Rua..CentroPop.";"-21.75297546027327 -43.34970468206212 709.212770368292 32.0";-21,7529754602733;-43,3497046820621;709,212770368292;32
"187";"q187_CREAS...CREAS.Norte";"-21.72443175691707 -43.39744969066952 667.1420836504857 12.0";-21,7244317569171;-43,3974496906695;667,142083650486;12
"188";"q188_Acolhimento.Institucional...Núcleo.Cidadão.de.Rua.Hebert.de.Souza";NA;NA;NA;NA;NA
"189";"q189_Acolhimento.Institucional...Sociedade.São.Vicente.de.Paulo";"-21.750683378149233 -43.3379159354678 0.006575372999226179 350.0";-21,7506833781492;-43,3379159354678;0,00657537299922618;350
"190";"q190_Acolhimento.Institucional...Casa.da.Cidadania";"-21.77104888 -43.29767544 633.5 19.0";-21,77104888;-43,29767544;633,5;19
"191";"q191_Urgência.Emergência...Serviço.de.Atendimento.Móvel.de.Urgência..SAMU.";"-21.75705511124959 -43.353744989487986 703.5125964093019 12.0";-21,7570551112496;-43,353744989488;703,512596409302;12
"192";"q192_Ambulatório.de.Saúde.Mental...Centro.de.Atenção.à.Saúde.Mental..CASM.";"-21.75585444064044 -43.35525635679724 712.8672746362689 16.0";-21,7558544406404;-43,3552563567972;712,867274636269;16
"193";"q193_Centro.de.Convivência...Associação.TRABALHARTE";NA;NA;NA;NA;NA
"194";"q194_Consultório.na.Rua...Equipe.de.Consultório.na.Rua..UAPS.de.referência.Vila.Ideal.";"-21.794961511720174 -43.342269328135785 723.201153896811 24.0";-21,7949615117202;-43,3422693281358;723,201153896811;24
"195";"q195_Consultório.na.Rua...Equipe.de.Consultório.na.Rua..Associação.Casa.Viva.";"-21.794961511720174 -43.342269328135785 723.201153896811 24.0";-21,7949615117202;-43,3422693281358;723,201153896811;24
"196";NA;NA;NA;NA;NA;NA
"197";NA;NA;NA;NA;NA;NA
"198";NA;NA;NA;NA;NA;NA
"199";NA;NA;NA;NA;NA;NA
"200";NA;NA;NA;NA;NA;NA
"201";NA;NA;NA;NA;NA;NA
"202";NA;NA;NA;NA;NA;NA
"203";NA;NA;NA;NA;NA;NA
"204";NA;NA;NA;NA;NA;NA
"205";NA;NA;NA;NA;NA;NA
"206";NA;NA;NA;NA;NA;NA
"207";NA;NA;NA;NA;NA;NA
"208";NA;NA;NA;NA;NA;NA
"209";NA;NA;NA;NA;NA;NA
"210";NA;NA;NA;NA;NA;NA
"211";NA;NA;NA;NA;NA;NA
"212";NA;NA;NA;NA;NA;NA
"213";NA;NA;NA;NA;NA;NA
"214";NA;NA;NA;NA;NA;NA
"215";NA;NA;NA;NA;NA;NA
"216";NA;NA;NA;NA;NA;NA
"217";NA;NA;NA;NA;NA;NA
"218";NA;NA;NA;NA;NA;NA
"219";NA;NA;NA;NA;NA;NA
"220";NA;NA;NA;NA;NA;NA
"221";NA;NA;NA;NA;NA;NA
"222";NA;NA;NA;NA;NA;NA
"223";NA;NA;NA;NA;NA;NA
"224";NA;NA;NA;NA;NA;NA
"225";NA;NA;NA;NA;NA;NA
"226";NA;NA;NA;NA;NA;NA
"227";NA;NA;NA;NA;NA;NA
"228";NA;NA;NA;NA;NA;NA
"229";NA;NA;NA;NA;NA;NA
"230";NA;NA;NA;NA;NA;NA
"231";NA;NA;NA;NA;NA;NA
"232";NA;NA;NA;NA;NA;NA
"233";NA;NA;NA;NA;NA;NA
"234";NA;NA;NA;NA;NA;NA
"235";NA;NA;NA;NA;NA;NA
"236";NA;NA;NA;NA;NA;NA
"237";NA;NA;NA;NA;NA;NA
"238";NA;NA;NA;NA;NA;NA
"239";NA;NA;NA;NA;NA;NA
"240";NA;NA;NA;NA;NA;NA
"241";NA;NA;NA;NA;NA;NA
"242";NA;NA;NA;NA;NA;NA
"243";NA;NA;NA;NA;NA;NA
"244";NA;NA;NA;NA;NA;NA
"245";NA;NA;NA;NA;NA;NA
"246";NA;NA;NA;NA;NA;NA
"247";NA;NA;NA;NA;NA;NA
"248";NA;NA;NA;NA;NA;NA
"249";NA;NA;NA;NA;NA;NA
"250";NA;NA;NA;NA;NA;NA
"251";NA;NA;NA;NA;NA;NA
"252";NA;NA;NA;NA;NA;NA
"253";NA;NA;NA;NA;NA;NA
"254";NA;NA;NA;NA;NA;NA
"255";NA;NA;NA;NA;NA;NA
"256";NA;NA;NA;NA;NA;NA
"257";NA;NA;NA;NA;NA;NA
"258";NA;NA;NA;NA;NA;NA
"259";NA;NA;NA;NA;NA;NA
"260";NA;NA;NA;NA;NA;NA
"261";NA;NA;NA;NA;NA;NA
"262";NA;NA;NA;NA;NA;NA
"263";NA;NA;NA;NA;NA;NA
"264";NA;NA;NA;NA;NA;NA
"265";NA;NA;NA;NA;NA;NA
"266";NA;NA;NA;NA;NA;NA
"267";NA;NA;NA;NA;NA;NA
"268";NA;NA;NA;NA;NA;NA
"269";NA;NA;NA;NA;NA;NA
"270";NA;NA;NA;NA;NA;NA
"271";NA;NA;NA;NA;NA;NA
"272";NA;NA;NA;NA;NA;NA
"273";NA;NA;NA;NA;NA;NA
"274";NA;NA;NA;NA;NA;NA
"275";NA;NA;NA;NA;NA;NA
"276";NA;NA;NA;NA;NA;NA
"277";NA;NA;NA;NA;NA;NA
"278";NA;NA;NA;NA;NA;NA
"279";NA;NA;NA;NA;NA;NA
"280";NA;NA;NA;NA;NA;NA
"281";NA;NA;NA;NA;NA;NA
"282";NA;NA;NA;NA;NA;NA
"283";NA;NA;NA;NA;NA;NA
"284";NA;NA;NA;NA;NA;NA
"285";NA;NA;NA;NA;NA;NA
"286";NA;NA;NA;NA;NA;NA
"287";NA;NA;NA;NA;NA;NA
"288";NA;NA;NA;NA;NA;NA
"289";NA;NA;NA;NA;NA;NA
"290";NA;NA;NA;NA;NA;NA
"291";NA;NA;NA;NA;NA;NA
"292";NA;NA;NA;NA;NA;NA
"293";NA;NA;NA;NA;NA;NA
"294";NA;NA;NA;NA;NA;NA
"295";NA;NA;NA;NA;NA;NA
"296";NA;NA;NA;NA;NA;NA
"297";NA;NA;NA;NA;NA;NA
"298";NA;NA;NA;NA;NA;NA
"299";NA;NA;NA;NA;NA;NA
"300";NA;NA;NA;NA;NA;NA
"301";NA;NA;NA;NA;NA;NA
"302";NA;NA;NA;NA;NA;NA
"303";NA;NA;NA;NA;NA;NA
"304";NA;NA;NA;NA;NA;NA
"305";NA;NA;NA;NA;NA;NA
"306";NA;NA;NA;NA;NA;NA
"307";NA;NA;NA;NA;NA;NA
"308";NA;NA;NA;NA;NA;NA
"309";NA;NA;NA;NA;NA;NA
"310";NA;NA;NA;NA;NA;NA
"311";NA;NA;NA;NA;NA;NA
"312";NA;NA;NA;NA;NA;NA
"313";NA;NA;NA;NA;NA;NA
"314";NA;NA;NA;NA;NA;NA
"315";NA;NA;NA;NA;NA;NA
"316";NA;NA;NA;NA;NA;NA
"317";NA;NA;NA;NA;NA;NA
"318";NA;NA;NA;NA;NA;NA
"319";NA;NA;NA;NA;NA;NA
"320";NA;NA;NA;NA;NA;NA
